"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,PERSONS,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01008134,,598,,10,8,3,4,3,5,4,5,4,5,5,2,7,8,7,3,7,2,8,4,3,2,6,11,17,7,15,27,8,16,7,3,9,5,6,3,7,11,4,4,9,9,10,12,12,8,6,18,13,6,8,5,11,11,9,7,11,5,6,7,10,4,6,8,12,5,5,8,3,2,5,8,2,4,8,3,5,5,2,4,2,4,3,6,2,3,1,0,1,3,6
S01008135,,"1,182",,24,13,18,28,11,14,19,14,15,15,9,21,18,13,13,14,14,16,10,13,12,17,9,10,15,21,24,14,17,15,18,15,15,21,22,15,14,25,13,22,27,30,15,22,29,20,21,24,19,18,16,17,16,22,8,9,9,9,13,8,7,8,7,11,12,6,7,9,13,6,2,12,7,6,8,2,5,4,5,3,2,3,4,3,3,2,4,4,1,5,13
S01008136,,876,,10,3,4,11,4,10,8,7,12,5,11,9,6,5,7,6,8,13,9,13,9,11,10,11,8,9,10,16,6,10,11,11,14,12,11,7,16,13,14,10,15,12,14,19,13,16,12,17,13,11,12,9,15,14,11,14,14,13,9,11,7,8,12,13,14,15,9,12,10,9,8,7,7,9,16,13,4,5,3,5,11,2,1,4,3,2,4,4,1,4,10
S01008137,,911,,24,23,20,17,24,20,20,11,13,17,13,11,11,10,7,8,12,14,17,14,11,11,16,10,11,17,10,11,8,22,13,11,9,14,9,15,9,11,9,19,14,9,6,11,20,14,10,8,10,11,14,19,15,17,7,13,12,12,9,8,6,3,9,9,8,15,4,4,5,7,4,6,4,2,1,4,2,4,3,2,3,1,4,1,2,1,0,1,0,3,2
S01008138,,859,,21,5,16,12,10,13,11,14,6,13,14,11,16,11,11,16,16,16,6,15,15,8,19,10,11,8,7,8,12,12,12,9,9,10,10,11,8,13,14,15,20,14,15,8,15,11,13,13,19,14,13,9,16,10,11,17,7,10,14,11,10,11,10,6,9,5,7,2,7,3,4,5,7,2,4,5,5,2,2,0,3,2,2,4,3,1,0,1,1,0,2
S01008139,,863,,12,8,7,11,9,10,8,9,13,7,9,12,11,19,9,6,16,11,11,7,21,12,14,16,10,10,8,13,18,5,13,9,7,6,11,7,12,9,5,8,16,12,10,11,10,15,19,12,17,30,15,12,21,13,4,10,5,6,10,12,10,9,8,10,9,7,5,7,7,7,11,5,9,8,7,7,4,3,6,8,5,3,2,3,7,4,1,3,2,1,6
S01008140,,520,,9,7,11,12,5,5,6,6,7,3,6,10,11,3,5,7,7,8,2,4,3,9,5,9,9,19,7,3,5,7,6,4,4,9,3,5,4,5,5,11,8,4,7,2,10,9,6,12,9,8,4,6,10,11,6,5,4,3,1,6,5,10,1,6,3,6,1,5,6,2,2,2,8,4,2,3,4,2,2,5,4,5,3,3,4,3,4,5,4,2,7
S01008141,,840,,2,8,4,6,7,6,9,8,8,7,10,14,7,8,18,8,9,21,7,9,16,14,15,9,8,9,6,6,4,4,6,4,9,4,6,7,6,8,12,8,13,8,9,12,20,14,12,22,9,18,12,11,17,16,15,13,11,12,12,7,17,14,9,13,11,13,10,11,10,12,8,7,8,15,9,8,11,7,8,6,4,7,5,3,3,3,1,1,2,2,2
S01008142,,792,,5,3,10,6,6,11,6,9,11,8,8,13,11,8,9,13,7,11,16,13,14,15,16,7,11,10,7,8,6,6,9,6,7,6,4,4,12,6,11,13,19,10,12,11,11,13,14,22,11,10,14,18,15,19,14,14,15,15,20,8,10,11,13,13,17,10,8,5,5,4,3,5,4,4,6,3,6,7,2,3,1,0,1,0,0,2,0,1,1,0,0
S01008143,,899,,13,5,12,8,6,16,8,6,5,15,12,2,11,5,16,9,14,10,21,8,13,10,11,10,11,10,9,8,8,9,11,8,10,9,17,12,14,11,6,12,8,10,8,16,16,16,12,12,20,15,16,12,14,12,17,14,8,22,6,9,9,11,14,10,12,7,12,7,10,13,8,10,9,8,4,14,13,10,4,6,5,2,4,2,2,3,6,4,1,1,4
S01008144,,622,,5,4,4,6,7,8,10,3,5,9,7,7,5,15,10,7,12,13,11,10,12,4,4,10,6,6,6,3,2,2,2,8,3,2,14,5,5,5,6,4,6,8,12,9,13,4,7,12,23,7,12,11,16,12,12,11,8,5,5,12,12,9,10,8,13,8,10,6,5,7,4,3,8,6,5,4,4,5,5,3,5,3,3,2,1,0,0,1,0,0,0
S01008145,,800,,9,7,9,13,5,9,7,9,10,7,9,11,15,14,12,14,10,12,14,11,12,20,11,6,13,16,4,8,7,9,1,5,7,5,14,10,10,12,10,9,12,9,13,20,13,10,14,19,9,10,10,13,9,11,22,16,14,11,8,8,12,4,9,3,16,10,12,8,6,5,1,8,6,4,6,5,1,3,1,4,6,4,4,6,0,4,3,0,1,0,1
S01008146,,495,,9,4,8,7,4,4,4,6,6,5,6,2,7,3,6,6,7,9,5,10,12,5,5,8,7,3,5,4,13,5,4,5,2,6,2,2,5,11,11,2,5,1,5,3,3,5,10,2,7,10,7,9,8,6,13,5,10,6,4,6,7,5,7,5,4,6,11,10,6,4,6,6,5,7,8,9,1,2,2,3,4,6,0,1,2,4,2,0,0,0,2
S01008147,,794,,7,10,4,8,4,6,10,11,6,6,7,7,9,13,8,8,9,8,12,7,11,12,13,8,4,7,7,8,12,12,16,5,9,10,10,6,9,12,10,5,7,10,16,20,12,10,11,12,6,14,13,10,10,13,9,15,17,20,11,14,20,12,16,19,15,9,15,8,12,6,7,2,4,5,4,6,7,8,10,2,1,1,0,3,1,1,2,1,0,0,1
S01008148,,751,,12,7,5,7,8,2,7,6,2,7,7,5,4,7,5,6,10,8,11,12,10,6,9,19,13,9,8,8,6,10,10,6,4,8,9,12,7,13,5,12,21,7,9,14,13,14,17,13,15,13,16,18,14,11,11,10,7,17,8,10,14,13,14,11,21,11,9,8,6,7,5,13,5,2,4,6,5,0,1,1,3,0,2,1,0,3,1,2,1,0,2
S01008149,,716,,13,5,8,8,10,11,6,12,6,4,9,11,12,9,5,10,8,12,4,14,12,8,14,9,17,11,13,9,3,7,13,9,4,2,5,5,7,6,8,9,10,9,15,14,8,19,12,11,20,17,14,7,10,13,9,9,8,6,8,3,5,5,12,7,14,8,4,6,7,5,12,7,2,5,5,6,6,7,4,5,2,5,3,1,1,0,1,1,0,0,0
S01008150,,934,,15,14,15,14,12,12,8,9,4,13,10,5,9,13,8,9,14,9,15,7,13,14,14,16,9,12,10,11,9,10,19,14,12,19,11,10,9,11,10,9,13,15,14,15,11,9,18,14,18,12,12,8,8,9,10,6,12,6,7,10,13,11,8,13,14,10,18,11,5,10,9,15,12,11,12,6,9,4,11,11,4,1,7,3,7,2,1,3,1,2,6
S01008151,,712,,16,8,4,5,4,5,8,6,5,6,5,5,12,11,13,5,11,14,10,13,9,10,12,8,7,13,8,11,5,4,9,7,6,7,5,6,9,9,7,5,8,14,10,19,12,14,16,16,16,11,10,11,7,10,11,11,7,5,4,4,6,7,7,7,5,2,4,10,4,5,4,3,8,5,15,8,9,6,4,0,10,5,10,8,4,3,1,0,5,2,6
S01008152,,"1,051",,14,14,8,6,8,11,18,11,17,9,2,6,13,7,7,12,7,6,16,17,14,8,16,18,9,9,10,13,5,17,8,13,9,7,12,7,12,10,8,11,16,14,10,14,13,13,17,19,14,21,16,19,22,9,8,11,14,14,13,16,10,14,10,19,19,10,18,14,10,12,20,10,11,8,14,12,8,18,14,9,2,12,13,7,9,5,5,5,4,5,6
S01008153,,878,,11,7,5,8,3,8,10,3,3,6,4,9,8,14,9,10,10,23,14,14,14,13,12,11,12,6,7,9,8,9,5,9,3,1,7,7,5,8,5,9,8,9,10,14,9,8,23,13,23,22,20,12,18,18,20,11,11,12,14,16,14,15,16,12,12,14,10,5,5,4,9,10,4,8,7,6,5,7,2,9,4,6,7,7,6,8,3,5,2,4,22
S01008154,,828,,6,7,8,8,8,6,4,5,7,10,5,5,7,11,8,9,13,13,11,12,8,3,8,8,11,8,9,5,10,5,7,6,10,9,5,10,12,9,6,10,9,7,6,5,9,11,6,12,11,13,8,3,14,14,12,15,16,9,11,6,20,26,15,18,24,10,18,15,14,13,11,11,15,12,12,7,12,3,5,5,8,3,4,5,5,3,1,2,3,2,7
S01008155,,678,,2,8,5,2,7,6,5,6,9,4,6,5,10,10,7,7,10,9,10,10,10,11,9,9,14,6,9,6,6,10,11,7,6,4,6,3,4,1,9,5,13,5,6,9,14,10,12,12,15,10,20,6,15,12,17,17,15,9,17,9,8,8,4,8,9,6,6,6,12,8,9,6,4,6,11,5,5,3,5,4,6,0,4,0,0,1,1,1,2,1,2
S01008156,,916,,6,8,14,8,10,15,4,7,7,9,5,13,7,15,10,13,9,11,13,17,9,21,12,12,10,5,13,6,7,11,7,9,6,10,12,10,10,8,11,16,18,7,11,16,14,14,6,8,14,18,14,22,11,15,13,11,16,19,16,12,14,16,13,17,17,8,10,17,12,12,8,7,8,6,4,8,3,5,4,5,4,5,4,3,4,3,2,5,2,1,8
S01008157,,750,,10,4,13,4,2,13,9,8,11,11,10,13,14,8,11,9,12,12,12,13,11,5,17,6,9,9,4,8,12,9,4,7,5,4,7,8,6,6,8,9,13,16,12,11,11,18,13,16,19,9,12,12,9,19,8,14,12,9,14,11,18,11,7,9,10,6,8,5,5,2,8,1,6,6,9,1,3,2,1,2,2,4,0,2,1,2,2,0,2,1,3
S01008158,,714,,4,4,9,10,5,2,8,4,4,5,6,2,10,3,5,6,7,12,12,12,12,8,18,18,15,15,10,5,9,5,11,12,14,7,4,8,8,7,5,10,4,10,8,6,19,13,17,10,9,14,14,11,21,11,29,16,12,15,12,14,12,18,8,7,8,6,6,5,4,4,3,5,2,2,2,1,0,5,2,1,2,4,3,2,2,0,0,1,0,2,1
S01008159,,980,,17,9,19,20,9,17,10,13,8,9,11,8,13,16,9,13,16,12,18,10,13,14,16,15,16,12,15,7,8,12,17,11,10,10,12,8,8,6,13,11,15,12,15,15,10,10,12,17,15,12,10,19,18,9,21,16,13,12,11,10,11,8,13,17,16,8,7,9,11,11,6,6,14,11,3,5,6,10,6,8,2,10,3,1,2,3,3,0,2,1,4
S01008160,,"1,004",,8,16,8,7,13,17,13,11,10,12,17,13,5,24,17,22,18,14,12,12,11,12,11,10,9,9,6,5,9,11,11,14,11,7,5,14,14,11,17,22,9,24,17,24,12,20,15,11,16,11,24,13,17,13,13,10,12,11,7,8,6,6,13,12,13,6,8,12,5,6,10,4,6,7,5,3,10,5,7,10,4,7,6,5,9,5,3,7,4,9,16
S01008161,,"1,026",,13,18,12,18,9,13,6,17,16,9,20,8,15,11,14,17,22,10,8,14,20,10,2,8,7,10,13,6,12,11,10,19,15,6,14,13,12,12,18,22,23,23,26,19,26,26,26,20,20,12,28,19,18,12,16,22,13,4,10,8,15,14,4,8,10,6,2,6,13,3,5,5,3,4,10,6,4,4,0,7,1,0,0,4,3,0,3,2,0,0,3
S01008162,,"1,015",,11,13,15,10,9,7,7,12,11,6,9,16,8,6,15,12,7,12,11,9,10,9,7,10,17,15,5,13,11,5,12,10,11,11,19,10,11,13,21,14,18,19,16,13,30,25,20,15,18,15,7,15,11,14,18,11,13,13,17,11,12,18,10,13,12,6,13,14,12,12,15,13,7,11,12,7,8,6,5,10,4,10,3,4,2,4,3,2,1,2,5
S01008163,,756,,6,11,12,11,15,9,6,17,4,7,12,9,6,9,9,10,14,10,6,16,9,13,6,5,7,11,8,9,10,7,7,9,10,8,2,9,13,10,11,12,13,14,12,11,8,7,15,4,10,14,12,7,13,13,8,8,11,4,7,12,13,13,12,7,9,10,7,5,5,8,4,6,8,7,7,10,3,4,8,7,5,3,1,1,2,4,1,1,1,1,5
S01008164,,"1,434",,10,5,2,16,15,6,4,8,4,8,11,6,8,7,9,10,13,17,123,209,148,83,58,70,41,33,29,20,11,18,15,9,14,11,3,5,6,10,14,14,11,7,8,15,16,15,18,2,10,14,11,11,14,4,17,8,8,9,10,2,10,11,6,6,5,3,6,4,11,3,6,6,8,6,4,1,1,4,4,0,2,1,1,1,2,3,0,2,2,1,1
S01008165,,787,,18,13,18,27,9,4,16,12,11,9,14,15,12,8,7,12,11,8,8,2,5,9,9,8,13,4,6,13,19,21,14,17,13,15,9,12,11,22,17,22,15,18,8,18,19,10,11,8,12,13,11,4,12,9,13,7,1,10,9,8,2,4,3,3,4,4,2,1,3,3,4,4,2,2,1,6,4,1,0,2,3,1,2,2,4,2,1,2,1,2,3
S01008166,,555,,3,6,7,5,9,6,7,6,5,5,7,10,4,14,11,9,11,5,7,14,10,4,5,2,8,8,4,9,6,7,4,2,5,6,3,11,9,6,6,5,8,11,7,8,9,13,5,10,8,11,9,3,8,10,5,5,11,11,7,7,7,7,10,8,5,1,5,5,4,2,6,3,3,5,5,5,4,2,3,4,2,2,2,5,2,2,3,5,0,0,1
S01008167,,718,,8,8,7,8,14,3,9,16,12,8,10,9,6,15,13,17,12,14,13,8,12,6,7,3,11,11,10,6,9,8,6,7,6,9,8,6,9,6,9,9,10,9,14,12,9,12,15,9,16,15,13,16,11,9,6,10,6,4,7,5,9,8,4,3,8,7,0,5,8,12,9,9,6,8,5,2,2,5,1,4,2,1,2,4,4,3,2,1,3,2,3
S01008168,,842,,10,10,12,9,14,16,8,18,13,3,10,9,11,14,8,13,8,11,8,14,8,10,12,10,10,6,12,8,12,18,5,14,8,13,3,8,8,7,14,15,17,19,18,9,12,15,19,14,9,10,12,10,11,9,13,12,3,14,9,14,5,4,8,11,10,7,10,5,8,4,4,2,5,5,5,5,5,3,3,5,4,6,3,5,4,6,7,1,4,6,13
S01008169,,709,,9,6,15,11,12,8,1,5,7,7,6,6,8,9,13,9,6,8,11,6,13,10,8,11,5,7,6,3,8,14,7,10,10,14,10,10,13,5,7,10,11,12,15,6,13,12,17,16,10,8,15,10,9,14,11,8,6,7,11,6,5,8,8,8,6,12,10,6,6,9,1,5,2,4,5,6,6,8,4,5,1,4,5,1,2,2,4,1,1,1,2
S01008170,,601,,4,6,6,5,7,3,4,6,5,7,8,7,8,12,7,9,11,11,7,11,8,6,7,6,0,8,3,3,0,2,6,5,7,4,5,6,8,7,3,5,12,9,8,13,15,9,14,12,15,13,22,16,14,12,14,5,4,5,9,5,4,8,9,5,8,10,6,5,5,4,3,4,1,5,3,4,6,3,7,0,4,3,0,3,2,3,5,2,3,1,6
S01008171,,737,,10,5,10,7,6,7,4,13,5,13,10,3,6,7,4,7,5,8,9,9,10,14,10,7,5,5,7,5,14,11,9,9,14,10,10,13,12,5,13,6,17,9,10,6,10,18,20,16,9,8,10,15,10,4,12,9,11,9,4,11,9,6,6,8,5,3,7,9,5,9,5,4,5,11,4,5,5,9,6,8,9,5,5,4,6,4,1,4,4,2,9
S01008172,,556,,9,4,6,2,4,5,6,3,9,6,7,9,5,7,7,8,11,8,8,7,4,5,7,2,6,5,7,6,4,3,1,3,5,0,3,8,3,7,4,12,7,7,9,9,13,7,5,8,12,7,12,10,11,11,8,4,7,10,6,7,5,5,4,13,14,11,5,10,7,9,9,4,6,6,6,8,2,3,4,3,2,5,6,3,1,1,2,0,2,1,3
S01008173,,657,,2,2,5,10,7,9,10,6,5,8,8,9,9,13,19,13,13,6,12,18,3,9,5,4,4,2,5,3,4,4,7,7,7,5,6,7,8,4,17,13,10,9,9,11,16,11,19,11,15,7,17,16,13,14,15,5,7,7,7,5,6,8,6,6,16,5,10,9,4,6,4,2,3,6,2,5,4,3,0,1,2,4,4,2,1,1,1,0,2,1,1
S01008174,,520,,3,7,5,2,7,4,7,3,6,6,3,5,4,9,2,4,6,9,7,1,5,18,7,10,5,4,3,5,5,4,4,2,7,2,14,5,4,6,7,5,3,10,8,5,8,8,5,10,13,1,15,10,16,16,12,13,7,5,10,5,10,9,5,6,11,8,2,6,3,5,6,6,1,2,1,3,2,4,1,6,5,3,1,1,2,2,1,1,0,2,3
S01008175,,738,,10,12,9,14,6,4,6,11,3,8,7,5,10,6,7,7,6,4,7,6,7,14,11,14,8,11,12,11,12,7,11,15,7,13,5,5,12,14,11,13,8,13,15,7,13,12,12,17,18,15,16,15,13,8,8,9,14,7,8,5,11,7,12,10,12,8,5,8,7,7,6,5,5,2,3,3,7,2,3,4,3,1,4,2,2,1,0,1,0,1,2
S01008176,,729,,7,7,6,10,7,6,6,11,5,8,7,6,6,7,7,9,11,4,7,6,9,8,11,12,7,2,7,13,9,3,1,6,6,5,5,2,11,10,23,9,7,11,7,13,8,11,11,14,11,17,13,10,6,12,10,12,12,10,17,12,16,17,11,19,15,12,15,9,6,3,11,2,7,6,5,5,7,5,9,2,2,3,4,3,1,0,4,0,1,1,2
S01008177,,750,,8,7,7,14,10,8,8,10,7,5,13,9,8,6,9,6,4,6,6,8,8,4,6,7,3,10,10,6,4,10,12,6,6,8,14,4,8,6,11,15,13,13,8,20,8,7,13,5,12,10,15,15,13,6,12,10,8,8,7,8,4,10,11,12,14,3,10,10,12,11,6,8,7,10,10,9,4,7,9,5,4,8,11,4,6,5,1,1,2,1,7
S01008178,,636,,3,8,7,5,1,2,10,1,4,4,6,3,6,2,7,9,6,11,5,7,8,9,6,11,8,5,6,6,2,5,7,6,6,5,6,8,2,6,5,3,10,2,4,9,9,10,11,8,11,7,12,9,17,19,13,9,10,4,10,13,12,15,4,16,19,13,13,13,11,10,17,7,5,4,5,8,3,4,7,3,4,7,2,3,2,0,1,2,0,1,1
S01008179,,519,,5,2,11,5,2,8,12,8,7,6,9,12,5,14,9,10,11,8,13,8,11,3,4,11,3,3,4,3,3,1,2,6,5,7,6,5,4,4,11,13,12,13,12,17,18,15,14,7,12,20,13,9,10,7,3,6,5,9,2,4,2,3,4,0,6,1,2,2,2,1,0,0,1,3,5,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
S01008180,,480,,5,1,7,2,4,4,5,3,5,4,10,6,2,11,10,12,6,11,8,7,8,11,8,3,8,6,6,5,4,2,2,0,2,6,5,2,5,5,4,9,6,10,7,8,8,9,11,12,9,10,11,13,17,7,10,11,8,13,7,5,11,11,8,7,6,4,2,0,1,0,2,2,1,1,1,0,0,1,2,0,0,1,0,1,0,1,0,0,1,0,0
S01008181,,679,,4,5,8,7,7,5,5,4,9,4,11,3,5,3,9,11,8,8,8,10,7,13,10,13,4,5,4,5,4,3,4,0,4,3,7,9,10,4,7,7,6,9,8,5,7,10,11,15,8,15,11,10,10,9,12,11,7,12,15,13,10,8,12,17,15,15,7,5,9,14,8,6,9,7,9,9,5,6,1,5,5,5,2,5,7,4,4,2,2,2,3
S01008182,,944,,11,8,11,11,6,1,8,9,3,2,6,5,4,2,3,5,5,12,6,8,7,15,15,6,22,21,20,25,17,23,22,15,23,16,24,14,16,20,7,20,19,18,12,11,14,4,13,16,6,12,17,15,15,16,14,11,12,12,13,13,14,15,11,13,15,8,4,8,9,11,2,2,5,7,5,7,17,8,2,4,4,5,7,2,4,1,2,1,3,0,11
S01008183,,638,,9,11,10,9,3,8,4,5,1,9,12,8,8,15,6,6,5,13,9,6,12,10,9,5,8,9,4,7,8,4,5,6,7,3,11,11,7,14,14,15,10,12,12,11,15,12,11,9,11,17,12,7,8,14,9,4,4,8,2,8,4,5,4,3,9,4,3,4,3,6,4,4,5,7,5,3,7,2,5,5,5,4,3,1,4,1,0,2,2,0,2
S01008184,,806,,4,7,11,6,2,2,3,2,6,5,4,1,5,2,4,3,5,5,4,5,11,15,12,1,20,16,18,12,22,20,5,14,11,12,10,12,10,7,10,9,14,7,9,10,9,9,15,8,11,11,10,6,14,9,11,8,11,8,7,7,15,6,17,17,11,7,14,7,8,2,6,10,10,10,11,7,4,8,11,10,17,8,9,5,11,8,4,1,7,2,16
S01008185,,"1,022",,7,18,6,6,7,13,10,10,8,7,9,7,4,8,13,1,7,8,11,6,14,6,12,13,20,12,11,12,10,15,20,17,22,22,24,9,17,16,17,18,18,7,10,18,15,11,11,14,21,15,20,15,17,13,21,12,11,11,15,5,13,10,12,10,11,13,6,8,11,11,4,10,12,12,6,7,6,8,7,13,7,12,8,9,6,4,10,7,8,1,7
S01008186,,860,,16,5,5,4,6,6,2,2,2,2,2,9,9,10,24,25,48,47,40,14,12,8,9,10,12,8,15,11,10,9,15,10,12,8,15,17,11,9,12,7,15,12,7,7,6,6,12,11,5,8,10,9,12,5,9,2,7,3,11,11,8,5,6,8,4,6,5,5,7,8,3,4,7,7,4,9,7,4,7,11,4,4,10,10,7,2,7,5,3,3,14
S01008187,,612,,17,7,6,3,10,7,5,10,5,4,5,7,8,2,9,7,9,9,7,15,7,13,11,6,8,7,10,11,6,6,9,6,4,4,5,13,11,9,12,7,7,7,8,14,8,12,15,8,10,12,8,9,4,9,5,14,7,2,4,4,6,8,5,6,8,3,4,6,5,4,3,6,3,5,6,4,5,7,4,2,2,5,7,2,1,2,0,2,1,2,4
S01008188,,905,,15,16,13,8,9,10,2,8,4,7,5,13,5,9,9,16,9,7,13,21,9,11,13,12,17,11,21,19,6,11,7,7,15,11,11,8,8,10,14,15,13,12,15,11,11,9,11,10,19,10,16,11,14,18,9,9,7,3,10,13,9,12,4,9,6,14,4,7,7,10,4,6,8,9,7,5,15,11,6,8,6,14,7,6,5,5,9,5,9,4,8
S01008189,,560,,3,2,5,4,9,5,3,5,3,5,6,3,5,2,6,5,10,10,6,7,4,6,6,1,2,3,8,12,5,5,7,2,5,4,6,5,13,9,11,4,5,8,7,5,9,4,11,7,9,6,2,9,10,7,15,10,11,6,9,10,8,11,5,6,13,8,8,7,8,7,7,12,6,5,5,10,2,7,7,7,2,4,8,2,1,4,0,2,1,0,5
S01008190,,899,,14,11,8,10,8,9,11,7,5,6,10,10,15,15,22,15,13,13,20,18,10,11,8,13,8,7,9,2,11,11,13,8,6,5,10,6,6,9,11,5,9,13,14,15,12,20,12,16,17,18,16,12,10,17,11,17,13,12,7,7,18,8,12,19,19,4,10,6,5,6,15,9,8,6,7,12,5,7,9,11,2,6,4,0,4,4,0,2,2,2,0
S01008191,,495,,6,8,5,6,7,7,8,9,4,5,4,4,4,5,9,6,12,6,13,9,6,9,13,2,7,5,4,6,4,5,5,2,5,2,4,6,8,1,2,3,1,9,6,2,6,15,11,8,8,4,10,7,7,5,7,11,9,5,5,3,5,7,6,5,3,11,9,3,6,6,5,10,3,5,5,2,2,4,1,5,6,1,0,1,3,1,3,0,0,0,2
S01008192,,785,,5,7,5,3,6,4,7,4,6,9,6,6,7,8,5,14,14,7,14,12,5,20,9,12,22,17,10,16,13,11,11,15,13,7,10,11,11,10,5,14,11,9,7,25,12,10,5,13,14,12,18,12,11,11,17,16,10,5,12,12,12,11,7,12,11,6,5,3,5,2,8,7,4,11,6,4,5,4,3,5,3,3,2,1,0,3,3,0,2,3,1
S01008193,,814,,5,5,11,8,8,7,12,8,10,6,11,9,12,8,14,10,13,14,15,11,9,10,5,6,3,5,7,6,5,5,5,11,2,8,9,7,9,13,10,9,7,17,15,9,15,9,17,13,13,12,12,15,9,16,9,14,12,12,6,14,13,11,6,12,12,10,11,7,2,8,2,5,4,4,4,7,7,8,3,11,8,10,7,6,4,7,3,6,5,5,19
S01008194,,635,,15,8,9,8,14,6,4,8,10,9,4,2,3,8,8,6,7,5,10,5,8,5,5,4,5,10,6,12,6,6,7,8,8,11,3,6,8,7,8,11,8,11,6,12,8,16,9,10,6,4,12,7,9,7,6,12,13,11,8,10,6,7,6,6,9,9,2,8,8,3,1,8,4,4,8,1,6,2,2,5,4,5,1,9,4,2,2,3,2,2,18
S01008195,,791,,19,14,18,15,10,13,5,12,4,11,6,14,10,8,9,7,14,13,18,15,15,10,13,9,12,7,13,13,12,14,11,12,12,15,8,10,10,10,9,17,12,11,13,19,15,9,15,12,19,10,9,13,12,6,9,6,9,9,8,7,10,5,7,6,6,5,3,1,4,4,2,5,3,4,5,1,3,5,2,6,1,3,1,0,3,1,1,2,1,0,1
S01008196,,788,,14,5,15,15,10,17,16,13,8,11,7,20,12,8,8,19,8,17,15,12,15,8,4,12,14,17,2,9,11,14,13,11,12,10,13,14,5,7,6,19,10,12,10,15,15,13,12,12,9,10,14,7,10,11,8,11,8,11,10,8,6,2,7,4,8,2,3,4,2,3,7,2,6,6,3,1,7,3,4,4,3,2,3,2,3,3,3,1,1,1,0
S01008197,,993,,36,37,24,16,12,11,8,6,4,12,12,7,6,9,6,11,6,8,9,3,11,15,21,21,29,27,33,29,24,34,27,26,37,21,29,19,21,19,25,24,22,22,19,12,12,13,11,7,12,19,12,11,9,10,10,5,6,1,4,2,7,3,4,0,3,3,1,2,2,3,1,1,0,1,0,0,3,1,0,1,1,1,0,0,0,0,1,0,0,0,0
S01008198,,686,,5,8,9,2,7,12,4,9,7,5,9,5,8,6,10,10,13,12,6,7,6,4,6,13,7,4,5,11,9,8,10,4,4,5,5,9,6,7,14,13,9,5,8,9,9,14,5,9,13,13,15,7,9,9,10,7,10,7,10,9,9,9,5,19,9,8,7,9,9,10,7,7,9,9,7,3,7,4,7,3,5,2,8,7,3,2,2,1,2,0,6
S01008199,,771,,13,13,6,10,10,13,6,15,11,8,13,11,7,10,11,11,9,11,13,11,10,14,10,7,12,11,9,12,17,13,10,12,9,10,8,9,7,9,14,11,4,11,14,12,11,8,9,12,12,6,18,15,14,13,12,10,9,16,13,2,9,7,10,7,9,5,5,3,5,6,5,3,5,10,9,1,2,3,0,3,2,0,2,2,2,1,3,1,1,2,1
S01008200,,631,,8,10,7,6,3,6,8,10,3,11,11,12,5,8,7,8,6,5,7,6,10,2,6,6,7,3,4,6,8,6,6,9,3,2,6,6,11,3,8,9,10,5,8,14,13,12,9,4,13,7,8,9,5,4,7,5,8,4,8,6,6,12,5,9,8,10,6,12,10,8,10,10,6,15,7,7,1,7,12,8,8,4,2,4,6,3,2,1,0,1,4
S01008201,,803,,13,6,7,18,6,11,9,14,15,9,6,9,12,5,14,10,13,3,15,10,15,15,12,11,7,7,7,6,4,13,9,11,3,5,10,6,13,11,14,8,7,12,17,13,8,7,14,14,11,15,12,11,13,14,12,8,16,6,8,14,16,14,9,7,13,9,11,4,1,8,8,6,7,5,10,2,5,7,5,8,2,5,5,2,1,0,1,4,1,1,2
