"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area, and council area: 30 June 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Area Name,Council Area,All ages,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,,,,,,
,,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+,,
S01006781,Balgownie and Donmouth East - 01,Aberdeen City,674,,4,7,5,5,5,4,3,2,8,10,3,5,5,3,0,0,5,7,7,8,6,7,6,13,8,11,12,6,12,8,6,5,6,10,3,15,2,4,8,3,6,0,6,2,7,8,9,5,11,10,3,11,10,13,13,14,5,13,11,15,19,18,7,13,2,7,10,11,10,10,11,13,4,11,9,10,16,9,2,11,9,5,7,9,6,3,2,1,5,1,4,,
S01006782,Balgownie and Donmouth East - 02,Aberdeen City,795,,14,7,13,5,4,10,7,7,2,10,10,3,9,6,7,7,8,4,8,5,8,7,6,11,7,10,13,11,14,17,16,22,17,13,18,9,21,5,13,9,11,1,13,11,11,16,10,8,16,14,12,23,11,12,13,13,7,11,11,10,18,7,9,9,14,6,12,4,5,11,9,8,4,5,4,2,9,7,4,6,1,2,5,2,1,2,0,1,1,0,0,,
S01006783,Balgownie and Donmouth East - 03,Aberdeen City,613,,3,9,3,4,5,4,7,3,5,4,3,7,10,6,1,5,5,3,4,4,4,3,4,6,6,7,15,7,7,4,12,5,9,3,2,12,4,7,4,1,3,6,6,7,9,5,10,9,6,7,6,7,7,12,9,9,8,9,4,9,7,5,14,6,8,8,12,10,10,8,11,9,11,12,15,12,9,11,11,13,10,7,10,2,6,5,0,2,3,1,0,,
S01006784,Balgownie and Donmouth East - 04,Aberdeen City,580,,4,4,1,5,13,4,3,8,8,5,3,6,6,1,2,3,1,3,2,2,1,2,9,8,9,8,21,10,4,13,22,13,14,4,5,14,4,9,8,5,9,10,8,5,3,4,8,8,9,10,9,12,14,10,12,8,6,9,6,7,6,4,4,9,6,13,3,10,7,10,6,5,7,6,5,4,4,5,7,2,8,3,0,2,2,3,0,1,2,1,1,,
S01006785,Denmore - 01,Aberdeen City,576,,6,7,4,9,2,6,5,6,8,7,6,10,6,8,2,9,1,5,6,4,3,2,9,4,6,11,7,4,13,11,9,16,9,8,13,7,12,15,4,4,5,8,8,8,8,10,9,6,9,6,3,11,8,11,7,12,12,10,9,9,8,8,9,2,5,7,10,3,9,7,8,2,4,7,5,6,8,3,2,2,4,1,0,1,0,1,0,1,0,0,0,,
S01006786,Denmore - 02,Aberdeen City,801,,8,13,8,10,7,8,8,6,7,11,8,8,7,10,12,8,13,13,5,1,7,7,12,9,11,4,14,11,15,9,10,14,16,13,8,11,13,13,10,2,8,5,10,10,12,13,2,15,15,7,12,17,15,15,13,15,18,10,14,14,8,11,7,16,12,7,11,15,13,18,6,10,4,5,4,6,3,4,2,5,2,2,4,1,1,0,0,1,2,1,0,,
S01006787,Denmore - 03,Aberdeen City,626,,3,4,8,9,6,5,10,7,7,6,7,7,4,3,5,4,8,4,8,1,3,6,5,1,5,6,12,5,10,12,10,9,9,12,2,1,9,10,6,8,4,2,6,11,3,9,5,6,4,4,9,9,10,5,12,8,8,11,13,8,7,6,15,12,12,12,7,10,12,14,14,5,6,10,6,6,11,9,6,8,2,2,5,4,2,2,3,4,2,3,5,,
S01006788,Denmore - 04,Aberdeen City,"1,537",,38,46,34,25,16,18,24,15,10,20,14,23,19,11,12,15,17,11,14,8,3,5,15,10,27,22,40,35,31,38,32,44,34,42,37,45,44,25,20,31,22,25,26,26,34,25,27,28,22,14,20,15,14,14,15,11,13,11,21,12,17,12,11,10,11,7,11,1,5,2,7,8,3,0,6,1,5,2,3,4,5,5,2,4,5,5,0,4,3,3,10,,
S01006789,East Cairngorms - 01,Aberdeenshire,562,,4,0,1,3,3,3,1,1,5,4,2,7,1,4,10,6,6,8,6,6,4,7,6,8,2,1,7,5,6,3,2,6,0,2,3,3,2,2,3,2,7,7,8,6,14,9,7,1,8,20,7,10,7,15,8,6,1,5,5,11,13,12,14,7,15,7,10,8,15,7,10,11,16,11,8,14,6,2,5,3,3,7,8,1,2,3,5,6,0,3,13,,
S01006790,East Cairngorms - 02,Aberdeenshire,894,,5,7,4,3,3,3,9,12,6,11,6,9,10,8,9,4,8,6,11,12,10,14,12,5,2,6,5,6,5,12,13,9,8,6,7,7,2,5,6,7,5,11,5,9,4,3,18,11,27,18,9,18,8,11,9,13,12,11,16,18,12,14,7,13,8,10,14,18,20,21,13,8,11,18,12,11,15,8,8,16,12,10,12,13,3,8,15,7,5,6,17,,
S01006791,East Cairngorms - 03,Aberdeenshire,570,,3,5,6,5,13,2,5,4,9,4,8,4,7,4,7,6,6,5,12,6,4,4,1,2,5,11,1,1,1,6,14,7,12,6,2,4,11,8,1,6,2,6,4,4,13,8,15,12,9,11,12,4,5,10,12,15,10,7,9,10,6,12,8,8,11,10,5,13,10,13,12,4,9,3,1,4,3,5,1,3,2,2,2,3,0,4,3,1,0,4,2,,
S01006792,East Cairngorms - 04,Aberdeenshire,444,,2,4,3,4,1,5,3,7,4,2,5,9,2,3,4,2,4,2,1,3,6,3,3,5,3,7,4,3,5,0,1,3,5,4,6,5,5,1,5,4,5,5,4,6,8,8,5,3,9,5,8,9,13,3,14,15,8,10,5,10,8,8,7,7,5,4,6,2,6,7,8,9,7,10,6,1,9,4,8,3,3,5,2,0,1,3,0,0,1,3,0,,
S01006793,East Cairngorms - 05,Aberdeenshire,600,,1,5,4,5,4,4,7,6,3,4,6,8,8,6,2,3,10,10,7,6,6,5,2,3,8,5,2,3,12,10,8,0,6,5,5,6,6,13,3,10,4,13,7,7,6,8,11,10,4,13,5,6,7,14,12,3,10,19,13,12,6,9,6,14,4,17,10,7,9,11,13,8,7,3,6,7,9,6,3,5,3,2,1,2,2,2,2,3,6,2,4,,
S01006794,Aboyne and South Deeside - 01,Aberdeenshire,564,,6,8,10,9,3,9,6,4,3,0,8,2,8,5,0,8,11,8,2,2,0,5,6,6,0,3,4,4,8,8,3,7,9,1,6,6,3,8,5,4,9,3,4,2,6,15,9,8,6,13,12,7,14,4,11,11,9,8,12,7,2,6,10,14,10,6,13,11,7,12,12,11,3,5,1,6,6,5,9,8,2,7,3,0,0,1,3,1,5,4,3,,
S01006795,Aboyne and South Deeside - 02,Aberdeenshire,770,,7,7,7,13,10,6,16,8,21,13,11,11,10,11,11,10,2,7,7,8,3,8,2,9,2,4,5,5,7,7,3,8,10,9,9,7,11,9,16,10,11,9,12,10,12,8,9,10,9,7,13,15,13,7,13,9,14,15,7,14,7,15,10,6,9,10,8,4,15,7,19,10,4,19,4,8,3,5,3,8,6,4,8,2,5,2,3,3,3,0,3,,
S01006796,Aboyne and South Deeside - 03,Aberdeenshire,890,,10,15,13,13,10,16,15,15,15,18,15,16,16,17,4,10,18,14,3,3,2,8,3,7,7,3,2,6,3,11,17,10,9,12,11,12,16,11,21,20,19,9,23,13,15,17,14,11,16,11,8,15,15,11,11,9,9,9,11,10,5,8,12,11,10,6,9,10,8,15,16,9,9,5,10,7,5,2,2,5,4,3,4,2,1,0,3,2,2,0,2,,
S01006797,Aboyne and South Deeside - 04,Aberdeenshire,666,,5,3,8,4,4,6,5,8,5,9,6,6,8,14,12,8,9,10,7,4,8,4,5,7,9,3,6,5,9,2,5,3,5,12,4,5,3,8,4,9,8,7,3,9,10,12,11,16,15,10,13,11,14,18,12,12,10,16,12,9,13,5,15,7,9,7,8,11,12,10,6,3,5,3,10,7,7,3,3,3,1,4,1,4,2,3,0,2,1,1,15,,
S01006798,Aboyne and South Deeside - 05,Aberdeenshire,660,,5,5,3,6,7,3,15,5,13,13,8,12,9,7,10,7,4,12,10,9,7,5,11,4,3,6,4,11,1,6,2,8,3,3,8,4,3,8,4,7,13,5,6,13,11,13,12,27,3,7,4,6,5,13,10,11,12,4,27,11,14,11,5,5,12,14,10,6,10,10,18,4,6,4,2,4,5,3,4,3,2,5,4,4,2,0,2,2,2,1,2,,
S01006799,Aboyne and South Deeside - 06,Aberdeenshire,907,,4,7,5,4,7,14,10,14,14,11,7,10,15,10,10,5,8,5,14,9,5,12,12,8,4,3,11,4,9,10,1,7,10,7,16,3,7,13,13,13,8,15,3,14,15,19,16,3,14,13,11,12,7,9,10,11,12,15,10,14,18,14,25,13,10,14,10,16,16,18,7,11,10,11,15,4,6,9,7,7,6,6,2,7,5,8,8,3,6,9,24,,
S01006800,Aboyne and South Deeside - 07,Aberdeenshire,868,,6,5,6,5,4,7,3,14,9,7,13,18,10,19,11,12,12,8,9,7,3,6,8,17,13,10,15,4,2,3,2,7,11,7,13,8,8,9,8,8,10,9,7,13,13,11,16,6,14,9,11,21,19,16,13,17,19,14,12,21,20,16,15,17,16,8,16,13,10,14,16,8,13,7,5,8,7,6,6,4,5,6,7,0,1,2,1,1,0,0,2,,
S01006801,Mearns and Laurencekirk - 01,Aberdeenshire,991,,9,12,9,11,11,15,9,14,12,7,11,18,10,10,10,9,8,12,8,3,2,6,2,6,2,6,8,3,4,9,5,10,13,15,16,9,11,7,9,17,16,10,11,21,13,21,11,12,19,16,13,15,14,19,19,14,13,8,10,15,15,11,5,14,13,14,14,10,13,12,15,5,9,13,15,12,15,6,15,5,5,6,7,6,11,10,5,5,11,6,30,,
S01006802,Mearns and Laurencekirk - 02,Aberdeenshire,754,,6,17,13,6,13,2,10,13,7,6,7,15,6,9,7,4,3,9,11,7,5,1,9,9,6,10,5,10,5,8,9,9,5,10,11,12,13,9,6,7,6,11,8,12,7,14,14,10,10,6,14,13,19,15,10,10,7,10,17,13,11,9,9,14,6,10,10,11,15,2,15,12,4,7,7,6,4,3,6,5,4,2,2,5,4,1,6,1,1,4,2,,
S01006803,Mearns and Laurencekirk - 03,Aberdeenshire,645,,8,13,6,9,7,6,6,1,12,3,9,5,4,10,5,9,3,4,1,6,8,5,7,9,2,8,2,5,2,7,12,4,7,0,9,6,15,8,9,6,5,6,7,13,8,7,12,5,9,7,9,14,9,10,6,17,9,4,12,10,9,15,14,6,12,11,7,14,10,6,8,9,13,3,8,3,4,7,7,6,5,8,6,1,4,2,1,3,3,1,2,,
S01006804,Mearns and Laurencekirk - 04,Aberdeenshire,778,,6,20,10,6,8,18,20,11,11,10,10,12,14,12,5,7,15,16,12,6,3,1,4,2,7,4,9,13,6,7,9,13,17,13,15,10,11,10,11,9,13,16,18,11,14,9,13,10,12,11,17,4,11,9,12,2,6,13,4,5,7,9,6,5,10,10,8,6,6,15,9,8,6,12,1,5,3,7,5,4,1,2,3,4,6,2,0,0,1,1,3,,
S01006805,Mearns and Laurencekirk - 05,Aberdeenshire,"1,153",,21,13,16,16,17,13,13,14,16,11,20,9,16,16,17,12,22,11,11,15,9,4,16,11,14,9,21,18,21,11,17,13,21,17,17,18,18,9,14,20,12,12,11,14,36,11,20,18,17,12,16,24,13,16,18,27,23,14,10,21,13,17,11,11,5,11,4,7,12,14,13,5,9,11,7,8,8,9,3,3,3,4,4,1,6,1,3,0,4,2,2,,
S01006806,Mearns South and Benholm - 01,Aberdeenshire,"1,032",,11,11,11,19,13,12,8,14,10,11,12,11,14,10,9,17,13,13,12,8,6,11,6,6,1,2,15,11,5,12,9,13,8,13,9,14,16,14,17,14,17,11,14,20,14,21,23,16,12,7,13,15,21,20,9,17,20,15,22,20,15,21,14,13,15,9,8,12,16,8,16,16,8,10,13,5,14,5,7,4,9,3,4,5,4,3,0,1,0,1,5,,
S01006807,Mearns South and Benholm - 02,Aberdeenshire,588,,5,10,11,10,4,8,16,8,11,11,9,7,11,8,5,6,3,8,9,1,4,3,0,3,7,1,11,4,3,4,3,7,2,4,3,17,9,5,11,6,13,9,3,13,12,10,11,9,21,10,2,10,11,17,8,5,8,14,7,8,11,6,6,10,12,4,7,6,5,3,10,0,4,6,2,4,5,2,3,2,2,2,2,0,3,0,0,1,0,0,1,,
S01006808,Mearns South and Benholm - 03,Aberdeenshire,695,,7,4,9,6,7,8,10,12,6,13,8,16,6,13,6,13,6,4,12,6,4,6,5,6,1,5,11,2,3,4,6,5,6,10,10,11,17,5,15,6,7,15,7,12,12,9,11,7,7,16,9,14,15,13,10,12,7,11,14,10,16,4,8,8,8,6,11,6,9,11,15,11,7,5,0,6,5,3,6,3,3,4,3,3,1,1,0,0,0,2,2,,
S01006809,Mearns South and Benholm - 04,Aberdeenshire,888,,16,12,8,13,8,15,10,11,7,12,10,17,17,17,15,11,12,13,7,3,12,4,4,5,11,4,7,13,13,6,15,8,5,2,13,8,18,10,5,9,11,14,9,15,10,16,8,8,12,10,16,9,9,5,21,8,11,10,12,17,12,10,16,8,11,8,17,8,14,21,17,11,10,7,9,4,6,3,3,10,9,7,3,9,3,3,3,0,2,0,7,,
S01006810,Mearns South and Benholm - 05,Aberdeenshire,876,,7,11,7,15,9,10,7,18,11,14,5,9,11,14,9,10,19,16,8,4,10,16,4,9,6,12,10,5,4,2,2,4,12,9,15,12,5,11,14,11,7,6,11,16,21,16,12,14,23,14,11,16,11,16,12,9,15,13,10,14,16,10,11,17,12,15,10,6,14,9,18,11,5,10,4,10,3,8,8,1,3,4,2,2,2,1,1,2,0,2,5,,
S01006811,Mearns North and Inverbervie - 01,Aberdeenshire,"1,157",,7,15,18,22,23,11,13,22,28,19,19,23,16,17,17,13,14,15,6,6,11,15,10,10,14,7,9,6,12,7,12,21,16,13,9,16,7,22,11,17,10,31,19,18,23,17,11,24,23,16,27,26,18,23,12,26,19,10,14,13,9,13,22,10,9,11,7,6,7,12,11,7,7,6,7,4,8,4,10,6,1,4,3,4,5,2,3,4,0,4,2,,
S01006812,Mearns North and Inverbervie - 02,Aberdeenshire,893,,14,16,12,10,18,13,19,20,8,20,13,11,11,8,10,13,10,12,6,13,5,12,4,11,4,8,4,10,4,3,11,7,13,18,16,12,16,16,12,15,6,16,22,12,25,13,36,12,21,4,7,14,19,8,15,10,5,11,9,17,12,10,10,7,11,8,11,7,10,8,13,3,4,3,4,0,8,3,1,3,3,3,3,1,0,2,1,0,1,0,3,,
S01006813,Mearns North and Inverbervie - 03,Aberdeenshire,845,,9,11,15,14,14,8,15,17,16,12,10,7,14,12,10,17,7,11,10,13,8,8,12,4,7,8,6,12,12,3,8,9,3,10,11,15,15,8,18,15,18,8,15,13,10,10,10,17,21,17,23,11,6,15,17,12,13,9,13,9,14,13,11,2,8,4,3,9,8,4,5,12,3,1,3,5,8,4,3,0,4,4,4,1,3,3,2,2,0,1,0,,
S01006814,Mearns North and Inverbervie - 04,Aberdeenshire,767,,12,6,13,6,6,6,13,10,13,18,13,12,13,13,7,9,1,4,9,8,4,10,15,11,2,6,8,9,5,7,11,6,11,6,9,9,11,12,13,6,12,6,6,6,8,5,6,15,16,13,16,12,14,14,21,19,15,10,6,9,12,10,7,7,11,15,8,3,10,12,14,7,4,5,6,4,4,6,3,4,2,4,2,1,2,0,2,3,1,0,6,,
S01006815,Mearns North and Inverbervie - 05,Aberdeenshire,599,,11,6,6,5,3,13,4,10,5,9,6,6,5,10,2,5,8,7,0,6,8,5,1,5,9,6,6,4,3,3,3,11,5,14,12,10,8,14,5,12,8,12,10,5,10,5,10,7,3,9,6,7,7,3,7,11,10,13,8,8,7,11,6,2,7,14,9,6,3,13,11,10,5,10,7,5,3,3,1,1,3,2,0,0,4,1,2,5,2,1,15,,
S01006816,Mearns North and Inverbervie - 06,Aberdeenshire,762,,10,11,10,10,10,11,6,15,8,11,12,15,6,9,8,5,8,14,8,6,7,3,4,6,3,5,2,11,8,9,9,11,3,8,12,4,8,6,11,6,11,14,8,6,4,14,10,14,12,13,11,6,13,14,11,13,14,13,12,13,7,13,11,13,8,13,7,16,6,7,17,3,9,9,8,6,6,6,2,4,3,4,4,3,5,2,1,2,3,3,6,,
S01006817,Mearns North and Inverbervie - 07,Aberdeenshire,760,,10,8,11,9,12,6,8,16,12,9,12,11,11,12,14,7,10,6,7,5,2,11,10,9,6,6,8,9,8,8,8,12,9,13,18,8,14,3,10,14,17,8,12,16,18,12,14,13,16,11,8,24,11,9,13,5,10,14,6,3,12,2,15,10,8,5,10,9,4,7,9,0,8,5,6,3,4,6,4,1,4,0,1,0,2,0,1,2,0,0,0,,
S01006818,"Fetteresso, Netherley and Catter - 01",Aberdeenshire,763,,3,11,13,9,4,21,3,7,8,12,10,10,9,12,12,2,14,5,10,5,3,2,7,4,7,4,1,11,4,13,7,8,16,7,11,7,11,7,8,9,11,12,15,13,10,11,10,10,13,25,13,15,13,17,14,14,15,10,16,16,11,12,13,6,14,11,10,4,8,12,7,3,7,8,5,3,3,4,4,2,2,3,2,0,7,0,0,0,1,0,1,,
S01006819,"Fetteresso, Netherley and Catter - 02",Aberdeenshire,895,,12,4,6,11,8,9,11,14,13,13,13,13,13,15,12,15,12,14,10,11,10,6,8,12,10,0,3,6,4,10,7,3,11,7,3,16,12,3,4,6,9,15,13,19,17,21,15,6,22,9,25,22,32,19,27,10,21,21,15,12,13,6,6,13,12,18,8,8,18,5,12,4,2,2,5,1,3,4,6,3,3,6,2,1,2,1,1,1,1,0,8,,
S01006820,"Fetteresso, Netherley and Catter - 03",Aberdeenshire,408,,3,5,1,3,6,8,3,6,4,5,4,3,6,0,6,1,4,6,3,6,3,3,3,13,2,2,0,7,4,1,3,1,0,1,3,1,9,9,6,7,3,4,5,9,9,5,11,1,4,5,6,10,9,9,10,6,5,7,6,5,4,3,5,8,4,4,3,5,5,8,3,4,6,5,2,6,8,4,2,3,6,3,4,2,3,0,1,1,2,1,3,,
S01006821,"Fetteresso, Netherley and Catter - 04",Aberdeenshire,"1,389",,30,35,40,28,27,37,13,21,28,17,11,18,17,10,16,11,14,8,10,8,5,13,5,15,6,14,8,33,19,27,26,26,32,28,52,34,41,29,42,26,32,25,25,13,22,19,19,18,20,11,16,18,15,13,21,23,13,13,12,12,6,8,10,7,9,8,9,5,8,3,8,2,11,4,6,1,4,10,7,7,7,2,0,1,1,1,1,0,1,1,1,,
S01006822,"Fetteresso, Netherley and Catter - 05",Aberdeenshire,939,,8,17,12,12,13,3,12,12,7,19,12,13,8,18,10,15,11,13,14,4,9,9,9,9,4,9,1,11,6,4,7,14,16,8,12,10,10,9,11,13,8,6,11,12,25,16,25,25,15,16,25,14,24,17,11,20,13,18,17,19,8,10,18,17,16,7,16,10,10,7,12,6,4,2,5,8,5,3,4,2,3,2,1,4,2,1,1,1,1,0,2,,
S01006823,Stonehaven South - 01,Aberdeenshire,717,,4,4,2,5,5,2,4,5,3,13,3,8,11,13,12,14,8,8,10,6,5,7,4,9,5,6,3,11,4,6,5,1,0,7,6,7,6,5,3,6,2,5,11,4,20,11,7,12,11,8,12,8,12,14,8,23,13,14,7,11,11,9,10,23,13,15,5,12,10,5,13,5,8,12,10,6,7,9,9,5,1,4,5,7,5,4,3,4,9,4,15,,
S01006824,Stonehaven South - 02,Aberdeenshire,798,,11,5,9,10,12,13,9,15,12,11,12,14,13,14,7,8,8,4,11,12,11,8,8,10,5,15,8,15,12,6,8,26,12,6,14,17,12,13,8,16,12,9,5,10,11,11,10,10,2,8,9,16,14,10,13,12,16,10,6,9,8,9,11,5,12,5,8,8,10,6,8,7,8,2,0,4,2,8,4,4,3,5,4,3,2,1,2,0,1,3,2,,
S01006825,Stonehaven South - 03,Aberdeenshire,750,,7,8,9,7,9,12,6,13,12,10,4,8,11,8,6,7,10,9,7,3,6,8,6,4,5,1,3,5,8,13,9,11,11,7,10,16,13,3,6,13,10,1,5,8,13,11,9,6,7,6,20,9,15,13,6,7,16,16,9,14,10,13,8,16,15,6,14,7,11,15,8,9,10,7,8,10,8,14,8,5,1,6,5,1,1,2,0,2,1,1,3,,
S01006826,Stonehaven South - 04,Aberdeenshire,890,,4,12,8,10,2,8,6,10,12,12,8,9,9,9,9,12,6,5,5,16,11,9,10,9,11,9,11,10,6,10,2,4,9,1,9,6,16,7,6,13,2,9,10,15,12,14,9,14,12,9,15,6,15,18,27,19,21,14,10,11,17,5,9,14,15,13,12,8,11,10,11,15,5,15,6,7,4,9,6,7,8,5,6,11,8,4,1,4,2,6,33,,
S01006827,Stonehaven South - 05,Aberdeenshire,907,,3,6,11,9,13,12,8,14,8,14,13,12,12,12,11,8,8,10,14,7,10,14,12,6,11,12,8,9,7,6,16,7,14,15,15,23,10,8,13,12,8,8,7,17,14,17,9,20,13,9,17,8,11,14,9,16,13,14,11,13,15,11,13,13,9,8,8,13,6,10,10,6,14,11,6,9,9,10,11,7,2,4,1,3,4,1,5,2,0,4,1,,
S01006828,Stonehaven South - 06,Aberdeenshire,840,,7,6,6,4,13,10,4,8,6,4,5,4,2,5,9,5,6,9,4,6,13,3,10,10,8,6,11,16,14,9,16,8,13,10,19,2,7,6,15,9,10,10,9,25,3,17,10,10,12,27,14,10,13,23,13,15,12,16,13,16,12,10,12,10,7,3,8,7,10,15,15,8,10,5,11,6,10,12,7,4,10,4,5,7,5,1,6,6,3,1,4,,
S01006829,Stonehaven South - 07,Aberdeenshire,426,,9,9,5,5,9,8,13,8,10,14,10,3,11,8,5,4,6,3,8,2,3,4,4,2,2,5,4,2,1,3,3,2,3,5,9,7,7,12,12,8,9,12,10,9,8,15,10,3,7,7,9,6,10,6,3,3,2,4,1,2,4,4,4,1,3,2,4,2,2,2,3,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,,
S01006830,Stonehaven North - 01,Aberdeenshire,757,,2,4,3,4,3,0,6,5,6,2,12,3,9,8,5,8,5,6,6,12,15,9,18,9,13,6,9,6,9,8,11,9,4,1,6,6,10,7,7,7,1,8,5,8,6,16,9,15,13,14,6,12,19,10,22,12,20,15,15,8,9,5,7,13,7,4,7,6,11,13,16,9,4,12,7,9,12,6,7,6,10,9,7,6,8,2,9,2,1,4,16,,
S01006831,Stonehaven North - 02,Aberdeenshire,503,,2,2,2,2,5,4,1,5,2,2,2,9,1,8,6,4,4,4,13,2,6,7,5,5,1,6,3,3,1,9,1,1,3,1,5,6,5,4,1,5,1,5,6,5,6,9,5,13,6,2,7,9,7,13,18,13,7,6,6,2,7,14,10,7,6,9,13,6,16,12,14,11,5,6,7,4,14,3,4,4,6,7,1,1,1,1,3,1,2,2,2,,
S01006832,Stonehaven North - 03,Aberdeenshire,982,,6,10,8,8,10,6,8,12,11,7,11,15,6,14,18,8,9,16,10,7,5,5,10,16,13,11,6,3,5,15,5,4,14,6,13,20,6,10,8,10,5,9,16,7,9,10,19,11,12,16,23,14,12,18,20,21,13,11,16,20,22,17,17,7,14,13,13,17,15,23,19,10,15,6,10,7,9,13,9,5,6,6,4,5,10,2,1,2,2,3,13,,
S01006833,Stonehaven North - 04,Aberdeenshire,472,,2,2,3,4,1,4,6,4,3,6,2,6,5,3,8,5,5,8,8,6,4,2,5,4,1,1,0,3,7,2,3,5,1,5,1,2,6,6,3,8,6,3,6,5,3,7,8,8,6,9,6,12,9,13,8,10,7,4,6,9,7,11,3,7,4,3,5,9,2,6,4,4,4,9,6,5,3,5,5,6,9,8,4,1,8,6,5,3,3,1,11,,
S01006834,Stonehaven North - 05,Aberdeenshire,495,,5,2,4,7,4,7,6,3,6,5,11,10,12,7,7,15,14,11,4,10,2,4,10,4,13,4,1,0,5,3,3,2,6,6,8,4,7,9,15,2,4,10,4,17,18,13,9,12,9,10,6,5,15,8,9,13,16,4,4,8,9,3,3,3,9,4,2,1,1,0,1,0,0,1,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,,
S01006835,Stonehaven North - 06,Aberdeenshire,765,,8,2,6,1,3,1,4,4,7,4,8,4,6,2,3,4,6,5,9,9,10,9,4,15,10,9,6,2,22,17,11,5,14,10,10,9,17,9,11,16,0,11,5,4,6,8,11,8,7,2,14,3,9,19,17,14,10,7,7,15,11,8,8,9,6,7,11,20,4,11,17,9,9,10,10,10,8,12,4,13,9,10,12,1,2,8,2,12,2,8,13,,
S01006836,Stonehaven North - 07,Aberdeenshire,535,,3,6,4,9,5,0,9,8,8,6,8,13,16,14,8,5,5,10,4,3,2,3,2,5,12,6,8,8,1,9,6,10,6,8,6,8,6,8,4,9,14,9,16,17,12,15,10,13,8,10,9,5,8,11,11,5,10,7,8,3,5,6,3,2,3,7,1,1,3,4,4,2,2,1,3,4,1,4,2,1,1,0,0,0,0,0,2,0,0,1,0,,
S01006837,Stonehaven North - 08,Aberdeenshire,569,,5,9,2,4,10,2,7,8,8,8,10,7,6,12,4,7,7,4,5,3,11,5,10,8,7,3,10,2,5,7,4,5,8,8,6,4,8,5,7,8,4,9,8,10,11,15,10,9,5,8,15,7,11,8,7,9,8,8,6,8,4,5,8,4,5,2,4,6,7,13,7,10,6,10,1,5,9,0,9,4,2,3,1,4,1,1,2,0,1,0,0,,
S01006838,Stonehaven North - 09,Aberdeenshire,591,,8,7,7,7,3,10,4,5,8,9,6,9,12,11,9,4,6,5,7,8,1,4,4,3,3,9,0,5,1,8,2,2,6,13,2,5,7,8,8,8,12,10,10,5,6,11,15,10,16,7,13,12,14,13,15,12,10,9,10,10,9,9,5,7,6,8,8,5,4,14,7,6,2,2,4,3,3,1,0,4,4,3,1,0,1,4,1,0,2,0,4,,
S01006839,Newtonhill - 01,Aberdeenshire,990,,11,9,12,9,13,7,8,21,3,9,9,3,11,10,9,9,10,11,10,9,7,6,7,5,9,15,12,3,6,16,16,13,11,10,13,16,9,11,6,29,14,16,8,15,14,15,10,17,18,12,8,11,13,17,12,15,11,14,13,14,19,15,18,12,15,16,20,19,17,17,13,10,9,14,8,13,11,7,6,1,2,11,7,5,4,2,4,8,2,3,2,,
S01006840,Newtonhill - 02,Aberdeenshire,"1,108",,14,9,11,13,11,15,15,18,16,15,16,27,27,13,22,21,9,17,15,11,10,5,15,6,10,8,10,5,4,3,8,9,4,13,8,7,13,11,19,29,17,21,31,18,20,22,11,23,21,14,20,23,15,13,20,15,17,13,6,15,7,13,7,18,9,3,23,7,19,16,6,10,7,8,9,17,3,8,2,8,4,2,5,6,4,5,4,0,3,1,7,,
S01006841,Newtonhill - 03,Aberdeenshire,872,,9,8,6,5,5,12,10,10,11,10,14,12,13,11,14,7,10,12,10,15,7,14,8,15,7,15,11,2,9,10,8,12,8,18,13,16,10,10,16,8,6,2,23,11,16,10,15,15,30,14,13,9,23,15,24,17,9,15,11,9,5,12,12,10,9,6,9,7,10,12,12,4,5,9,4,2,4,6,6,8,3,1,1,0,0,0,1,1,3,1,1,,
